signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1962 B 6,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1962,420 x 300,168 x 118,,15.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1975 A 48,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1975,330 x 210,170 x 120,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1979 A 7,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1979,370 x 240,220 x 160,,48.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1961 C 2,"Brauer, Johannes",1057113778,Weibl[icher] Akt,2 Kopfstudien,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,600 x 420,320 x 240,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 C 5,"Brauer, Johannes",1057113778,"Weiblicher Akt, kniend, mit Kopfstudie",,Orig.-Radierung,Leipzig,Scholle-Verlag,1970,625 x 420,390 x 280,,35.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 40,"Brauer, Johannes",1057113778,"Weiblicher Akt, kniend, zweifarbig",,Orig.-Mehrplatten-Farbradierung,[Leipzig],[Scholle-Verlag],1966,375 x 250,190 x 135,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 57,"Brauer, Johannes",1057113778,"Weiblicher Akt, kniend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,140 x 115,,14.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 C 6,"Brauer, Johannes",1057113778,"Weiblicher Akt, kniend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1970,625 x 420,390 x 280,,35.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1976 A 16,"Brauer, Johannes",1057113778,"Weiblicher Akt, kniend, am Meer",,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,365 x 240,195 x 130,,40.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1976 A 2,"Brauer, Johannes",1057113778,Liegender weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,215 x 325,120 x 170,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1974 A 29,"Brauer, Johannes",1057113778,"Liegender weiblicher Akt, zweifach",,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,210 x 335,120 x 170,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1975 A 46,"Brauer, Johannes",1057113778,Sitzender weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1975,330 x 210,170 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 32,"Brauer, Johannes",1057113778,Weiblicher Akt im Meer,,Orig.-Radierung,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 69 A 80,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,420 x 300,185 x 130,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1959 A 124,"Brauer, Johannes",1057113778,"Weibl[icher] Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,370 x 250,205 x 140,,15.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1975 A 58,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1975,365 x 240,195 x 135,,30.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1976 B 4,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,415 x 290,245 x 175,,42.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 39,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend, zweifarbig",,Orig.-Mehrplatten-Farbradierung,[Leipzig],[Scholle-Verlag],1966,375 x 250,190 x 135,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 56,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,370 x 240,210 x 135,,17.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 13,"Brauer, Johannes",1057113778,"Weiblicher Akt (sitzend seitlich, mit Kopfstudie)",,Orig.-Farbradierung von 2 Platten,Leipzig,Scholle-Verlag,1969,600 x 420,390 x 280,,40.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1974 A 10,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,330 x 210,120 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1979 B 12,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1979,370 x 240,220 x 160,,48.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1961 B 54,"Brauer, Johannes",1057113778,"Weibl[icher] Akt, am Boden sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1961,420 x 300,183 x 130,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1972 B 69,"Brauer, Johannes",1057113778,"Weibl[icher] Akt, stehend, von vorn",,Orig.-Radierung,Leipzig,Scholle-Verlag,1972,500 x 270,390 x 180,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 38,"Brauer, Johannes",1057113778,"Weiblicher Akt, stehend, zweifarbig",,Orig.-Mehrplatten-Farbradierung,[Leipzig],[Scholle-Verlag],1966,375 x 250,190 x 135,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 28,"Brauer, Johannes",1057113778,"Weiblicher Akt, stehend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1970,500 x 270,390 x 180,,27.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 C 8,"Brauer, Johannes",1057113778,"Weiblicher Akt, stehend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1970,640 x 420,465 x 260,,35.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1971 B 19,"Brauer, Johannes",1057113778,"Weiblicher Akt, stehend, von vorn",,Orig.-Radierung,Leipzig,Scholle-Verlag,1971,500 x 270,390 x 180,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1962 A 51,"Brauer, Johannes",1057113778,Weiblicher Akt (am Strand),,Orig.-Radierung,Leipzig,Scholle-Verlag,1962,325 x 220,120 x 80,,12.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 C 22,"Brauer, Johannes",1057113778,"Weiblicher Akt, von vorn, zweifarbig",,Orig.-Mehrplatten-Farbradierung,[Leipzig],[Scholle-Verlag],1966,600 x 420,390 x 280,,40.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1958 A 63,"Brauer, Johannes",1057113778,Zwei weibl[iche] Akte,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1958,330 x 230,160 x 100,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1958 A 63,"Brauer, Johannes",1057113778,Zwei weibl[iche] Akte,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1958,330 x 230,160 x 100,,"8,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1959 B 63,"Brauer, Johannes",1057113778,Zwei weibl[iche] Akte,,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,430 x 310,170 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1959 B 64,"Brauer, Johannes",1057113778,Zwei weibl[iche] Akte,,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,430 x 310,170 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1979 A 47,"Brauer, Johannes",1057113778,Zwei weibliche Akte,,2 Original-Radierungen,Leipzig,Scholle-Verlag,1979,220 x 330,115 x 165,,je 45.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 29,"Brauer, Johannes",1057113778,"Zwei weibliche Akte, stehend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1970,500 x 270,390 x 180,,27.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 35,"Brauer, Johannes",1057113778,Weibliche Aktstudien,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,500 x 270,390 x 180,,27.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 53,"Brauer, Johannes",1057113778,Andalusierin,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 225,193 x 120,,16.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 6,"Brauer, Johannes",1057113778,"Beate, nacktbrüstig",,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,370 x 240,220 x 160,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1959 A 237,"Brauer, Johannes",1057113778,Weibl[icher] Halbakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,330 x 230,160 x 100,,12.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1976 A 35,"Brauer, Johannes",1057113778,Weiblicher Halbakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1976,330 x 210,130 x 90,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1980 A 22-24,"Brauer, Johannes",1057113778,FKK,,3 Orig.-Radierungen,Leipzig,Scholle-Verlag,1979,210 x 330,120 x 170 und ähnliche Formate,,48.- DM (DDR) bzw. 40.- DM,Anonyme Motive: Akte,,
Kbl 66 A 34,"Brauer, Johannes",1057113778,Brustbild einer nackten Frau,,Orig.-Holzschnitt,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1979 B 18,"Brauer, Johannes",1057113778,"Frau, sich das Kleid öffnend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1979,370 x 240,200 x 135,,45.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 29,"Brauer, Johannes",1057113778,Junge Frau splitternackt,,Orig.-Holzschnitt,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1971 B 18,"Brauer, Johannes",1057113778,Frühlingsangebot,,Orig.-Radierung,Leipzig,Scholle-Verlag,1971,500 x 270,390 x 180,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1975 A 60,"Brauer, Johannes",1057113778,"Halbakt, Rücken",,Orig.-Radierung,Leipzig,Scholle-Verlag,1975,360 x 240,195 x 135,,30.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1973 A 110,"Brauer, Johannes",1057113778,Weiblicher Halbakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,370 x 240,200 x 135,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 33,"Brauer, Johannes",1057113778,Weiblicher Halbakt,,Orig.-Holzschnitt,[Leipzig],Scholle-Verlag,1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1973 A 6,"Brauer, Johannes",1057113778,Weiblicher Halbakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,370 x 240,200 x135,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 19,"Brauer, Johannes",1057113778,Weiblicher Halbakt im Schilf,,Orig.-Holzschnitt,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1975 A 52,"Brauer, Johannes",1057113778,Zwei Jungmädelakte,,Orig.-Radierung,Leipzig,Scholle-Verlag,1975,330 x 210,130 x 90,,28.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 30,"Brauer, Johannes",1057113778,Nacktes Mädel am Bootssteg,,Orig.-Holzschnitt,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1974 A 28,"Brauer, Johannes",1057113778,"Junges Mädel, nackt",,Orig.-Radierung,Leipzig,Scholle-Verlag,1973,335 x 210,170 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 66 A 31,"Brauer, Johannes",1057113778,Nacktes Mädel am Fluß sitzend,,Orig.-Holzschnitt,[Leipzig],[Scholle-Verlag],1966,340 x 230,160 x 115,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1974 A 71,"Brauer, Johannes",1057113778,Nackt im Polsterstuhl,,Orig.-Radierung,Leipzig,Scholle-Verlag,1974,370 x 240,200 x 135,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1974 A 34,"Brauer, Johannes",1057113778,"Nanni, nackt",,Orig.-Radierung,Leipzig,Scholle-Verlag,1974,375 x 240,200 x 135,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1977 A 34-4,"Brauer, Johannes",1057113778,"Vom Strand der Ostsee, vorm Strandkorb",,Orig.-Radierung,Leipzig,Scholle-Verlag,1977,330 x 210,170 x 120,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1977 A 34-1,"Brauer, Johannes",1057113778,"Von der Ostsee, Sonnenbad",,Orig.-Radierung,Leipzig,Scholle-Verlag,1974,240 x 370,135 x 200,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1977 A 34-3,"Brauer, Johannes",1057113778,"Vom Strand der Ostsee, nackt im Sand",,Orig.-Radierung,Leipzig,Scholle-Verlag,1977,210 x 330,120 x 170,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 71,"Brauer, Johannes",1057113778,Weiblicher Rückenakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,370 x 240,220 x 160,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1957 A 339,"Brauer, Johannes",1057113778,"Weibl[icher] Rückenakt, sitzend",,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1957,330 x 230,165 x 123,,"7,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1959 B 65,"Brauer, Johannes",1057113778,"Tanz, enthüllt",,Orig.-Radierung,Leipzig,Scholle-Verlag,1959,500 x350,255 x 180,,30.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 54,"Brauer, Johannes",1057113778,Nackte Frau,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,375 x 250,190 x 135,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 55,"Brauer, Johannes",1057113778,Nackte Frau mit gelöstem Haar,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,193 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 56,"Brauer, Johannes",1057113778,"Weiblicher Akt, sitzend",,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,193 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 57,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,193 x 120,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 58,"Brauer, Johannes",1057113778,Jungmädelakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,190 x 95,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 59,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,190 x 95,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 60,"Brauer, Johannes",1057113778,Weiblicher Akt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,330 x 220,190 x 95,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1970 B 15,"Brauer, Johannes",1057113778,Weiblicher Rückenakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,370 x 240,185 x 130,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1972 B 66,"Brauer, Johannes",1057113778,Weibl[icher] Rückenakt,,Orig.-Radierung,Leipzig,Scholle-Verlag,1972,500 x 270,390 x 180,,22.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 A 89,"Brauer, Johannes",1057113778,Vor dem Spiegel,,Orig.-Radierung,Leipzig,Scholle-Verlag,1969,370 x 240,180 x 130,,18.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1948 B 309,"Buhe, [Walter]",118664824,[Liegender Akt],,Farb. Orig.-Lithographie,Altenburg/Th.,Graphik-Verlag,1948,565 x 431,415 x 313,,40. RM,Anonyme Motive: Akte,,
Kbl 1980 121,"Cézanne, Paul",118519964,Badende,,Mehrfarb. Autotypie,Leipzig,Seemann,1980,210 x 300,185 x 250,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1961 C 101,"Cézanne, Paul",118519964,Frauen vor dem Zelt,,Mehrfarb. Lichtdruck,München,Piperdrucke,1953,720 x 870,580 x 750,"Piperdruck, Nr 75",50.- DM (BRD),Anonyme Motive: Akte,[Neuaufl],
Kbl 1973 C 132,"Cézanne, Paul",118519964,Urteil des Paris,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,650 x 740,500 x 600,"Piperdruck, Nr 57",55.-,Anonyme Motive: Akte,,
Kbl 1961 A 130,"Corot, Camille",118522256,Marietta oder Die römische Odaliske,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,220 x 300,162 x 240,,"1,50 DM (DDR)",Anonyme Motive: Akte,[2. Auflage],
Kbl 1954 C 101,"Cranach d. Ä., Lucas",118522582,Caritas,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1954,955 x 670,835 x 570,,"9,60 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1954 C 103,"Cranach d. Ä., Lucas",118522582,Quellnymphe am Brunnen,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1954,665 x 945,535 x 830,,"6,80 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1982 A 10,"Cranach d. J., Lucas",118522590,Venus und Amor,,Mehrfarb. Autotypie,Leipzig,Seemann,1981,300 x 210,280 x 120,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1976 A 31,"Degas, Edgar",118524291,Nach dem Bade,,Mehrfarb. Autotypie,Leipzig,Seemann,1976,300 x 215,300 x 215,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1960 C 137,"Degas, Edgar",118524291,Bei der Toilette,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1960,630 x 590,510 x 490,"Dresdner Meisterdruck, M 1166",27.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1973 C 49,"Dongen, Kees van",118638858,[Mädchenakt],,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,820 x 650,690 x 555,,60.-,Anonyme Motive: Akte,,
Kbl 1955 C 262,"Dürer, Albrecht",11852786X,Adam und Eva,,Lichtdruck nach einem Kupferstich,Dresden,Verlag der Kunst,1952,595 x 420,245 x 190,,4.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1958 A 81,"Dufy, Raoul",118681125,Liegender Akt,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1957,300 x 400,220 x 300,"Sammlung kleiner Drucke, S. 11",4.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1978 C 15,"Ebert, Albert ",,Akt auf rotem Hocker,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1978,1025 x 570,900 x 465,"Gradus-Blätter, G 3416",28.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1958 A 150,"Fragonard, Jean Honoré",118692437,Badende Frauen,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,217 x 260,180 x 240,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
1949 B 69,,,Die Galerie-Aktmappe,,Autotypie,Wien,"Verlag ""Die Galerie""",1947,210 x 293,170 x 215,,"S 9,90",Anonyme Motive: Akte,in Mappe ; 12 Tafeln,
Kbl 1975 A 78,"Gauguin, Paul",118537822,Die Frau mit der Frucht,,Mehrfarb. Autotypie,Leipzig,Seemann,1975,300 x 215,225 x 180,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1971 C 329,"Gauguin, Paul",118537822,Badende Mädchen,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,730 x 830,590 x 750,,65.-,Anonyme Motive: Akte,,
Kbl 1959 C 245,"Gauguin, Paul",118537822,Zwei Mädchenakte,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1959,478 x 523,400 x 460,,10.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1965 C 30,"Gauguin, Paul",118537822,Zwei Mädchenakte,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,485 x 515,395 x 455,,10.- DM (DDR),Anonyme Motive: Akte,[Neuaufl.],
Kbl 1980 A 42,"Gauguin, Paul",118537822,Te Poipoi. Der Morgen,,Mehrfarb. Autotypie,Leipzig,Seemann,1979,215 x 300,180 x 240,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1962 A 23,"Gauguin, Paul",118537822,…und das Gold ihrer Körper,,Mehrfarb. Autotypie,Leipzig,Seemann,1962,218 x 300,180 x 205,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1961 A 144,"Gawrilow, Wladimir",,Ein warmer Abend,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,300 x 220,240 x 127,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1989 C 6,Giorgione,118539469,Ländliches Konzert,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1988,580 x 700,460 x 600,"Dresdner Meisterdruck, M 1489",25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1953 C 80,Giorgione,118539469,Schlummernde Venus,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,425 x 615,335 x 540,,"7,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1960 C 23,Giorgione,118539469,Schlummernde Venus,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1960,620 x 900,500 x 800,"Dresdner Meisterdruck, M 1161",24.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1965 A 25,Giorgione,118539469,Schlummernde Venus,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,215 x 300,160 x 265,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neuaufl.],
Kbl 1958 A 28,"Goya [y Lucientes], Francisco [José de]",118541064,Die nackte Maja,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,170 x 290,135 x 270,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neudruck],
Kbl 1963 C 51,"Goya [y Lucientes], Francisco [José de]",118541064,Die nackte Maja,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1962,590 x 830,350 x 700,,20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1971 C 131,"Goya [y Lucientes], Francisco [José de]",118541064,Die nackte Maja,,Mehrfarb. Lichtdruck,München,Bruckmann,o.J.,560 x 1010,460 x 910,,60.-,Anonyme Motive: Akte,,
Kbl 1957 C 71,"Hofer, Carl",118552341,Am Meer,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1957,720 x 550,588 x 448,"Gradus-Blätter, G 3149",25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1971 C 25,"Hohendorff, H[einz]",,Rosé [Akt],,Mehrfarb. Offsetdruck,Lübeck,Möller,1970,825 x 455,695 x 355,,25.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1969 C 53,"Ingres, Jean-Auguste-Dominique",11855560X,Die Badende,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1969,685 x 480,565 x 380,"Dresdner Meisterdruck, M 1248",20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1958 A 152,"Ingres, Jean-Auguste-Dominique",11855560X,Odaliske,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,175 x 273,136 x 242,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neudruck],
Kbl 1957 A 325,"Ingres, Jean-Auguste-Dominique",11855560X,Die Quelle,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,280 x 150,240 x 120,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1967 B 21,"Kirchhof, Peter K.",,Zwei Freundinnen,"""Nimm zwei""",Orig.-Radierung,[Freiburg i. Br.],"[Johanna Schiessel, Abstracta-Verlag]",1966,390 x 540,180 x 250,,50.- DM (BRD),Anonyme Motive: Akte,,
Kbl 1967 B 22,"Kirchhof, Peter K.",,Uschi,,Orig.-Radierung,[Freiburg i. Br.],"[Johanna Schiessel, Abstracta-Verlag]",1966,530 x 390,235 x 150,,50.- DM (BRD),Anonyme Motive: Akte,,
Kbl 1990 C 28,"Kirchmair, Joachim",,Lichtblick,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1989,805 x 570,,,5.- DM,Anonyme Motive: Akte,,
Kbl 1990 C 29,"Kirchmair, Joachim",,Traumhaft,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1989,805 x 570,,,5.- DM,Anonyme Motive: Akte,,
Kbl 1958 A 266,"Klinger, Max",118563335,Die Quelle,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,320 x 205,273 x 150,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neudruck],
Kbl 1963 B 73,"Kriesch, Rudolf",118724444,Im Hammam,,Mehrfarb. Tiefdruck,München,Bruckmann,1962,425 x 500,270 x 370,,20.- DM (BRD),Anonyme Motive: Akte,,
Kbl 1959 A 167,"Lachnit, Wilhelm",118725823,Akt mit Blumen,,Mehrfarb. Autotypie,Leipzig,Seemann,1959,300 x 215,237 x 187,,"1,50 DM (DDR)",Anonyme Motive: Akte,,
Kbl 1969 C 19,"Léger, Fernand",118570994,Die drei Schwestern,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1968,630 x 500,540 x 430,"Gradus-Blätter, G 3305",20.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1955 A 44,"Manet, Edouard",11857700X,Olympia,,Mehrfarb. Autotypie,Leipzig,Seemann,1955,200 x 265,165 x 240,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neudruck],
Kbl 1958 A 112,"Manet, Edouard",11857700X,Olympia,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1957,300 x 400,200 x 300,"Sammlung kleiner Drucke, S. 3",4.- DM (DDR),Anonyme Motive: Akte,,
Kbl 1949 B 143,"Michel, Karl",,Sommer [Frauenakte],,Orig.-Lithographie,Altenburg/Th.,Graphik-Verlag,1949,295 x 420,195 x 270,,20.- (DDR),Anonyme Motive: Akte,,
Kbl 1944 A 253,"Mildner, Albin",,Sitzender Akt,,Orig.-Kaltnadelradierung,Wien,Bilder-Redl-Wien,1944,240 x 320,126 x 175,,"8,80 RM",Anonyme Motive: Akte,,
Kbl 1980 B 2,"Modigliani, Amadeo",118582941,Liegender Akt auf weißem Kissen,,Mehrfarb. Autotypie,,Seemann,1979,400 x 530,300 x 450,,"7,50",Anonyme Motive: Akte,,
Kbl 1958 A 358,"Modigliani, Amadeo",118582941,Liegende,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1958,300 x 400,193 x 310,"Sammlung kleiner Drucke, S. 48",4.- DM (DDR),Anonyme Motive: Akte,,
