signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1953 A 424,"Bruegel d. Ä., Pieter",118674013,Schlaraffenland,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,200 x 270,165 x 250,,"1,50 DM (DDR)",Märchen,,Autotypie,!041319869!,41437233,,,,
Kbl 1953 A 425,"Bracht, Eugen",119546159,Der Heideschäfer,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,205 x 270,170 x 245,,"1,50 DM (DDR)",Ständebilder ; Schäfer,,Autotypie,!96089392X!,41437233,,,,
Kbl 1953 A 426,"Rjepin [Repin], Ilja",11859981X,Anton Rubinstein,,,Leipzig,Seemann,1953,245 x 205,205 x 180,,"1,50 DM (DDR)",Benannte Bildnisse ; R,,,,,,,,
Kbl 1953 A 427,"Buchholz, Karl",,Frühling,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,265 x 200,225 x 180,,"1,50 DM (DDR)",Jahreszeiten ; Frühling,,Autotypie,!04130974X!,41437233,,,,
Kbl 1953 A 428,"Trübner, Wilhelm",118802828,Zimmerplatz am Weßlinger See,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,205 x 285,170 x 265,,"1,50",Bezeichnete Motive,Nr 8231,Autotypie,,41437233,,,,
Kbl 1953 A 429,"Wächtler, Leopold",1050532031,Friedrich Hebbel,,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,250 x 185,210 x 190,,in Passepartout 8.- DM,Benannte Bildnisse ; H,,Holzschnitt,,40257363,,,,
Kbl 1953 A 43,"Bade, [Bruno]",,K[onradin] Kreutzer,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 430,"Wächtler, Leopold",1050532031,Henrik Ibsen,,Orig.-Holzschnitt,[Leipzig],[Möhring],1949,340 x 240,190 x 145,,8.- DM (DDR),Benannte Bildnisse ; I/J,,Holzschnitt,,40257363,,,,
Kbl 1953 A 431,"Wächtler, Leopold",1050532031,Franz Schubert,,Orig.-Radierung,Leipzig,Möhring,1953,355 x 265,185 x 155,,8,"Bildnisse, benannt (Fort.)",,Radierung,,40481662,,,,
Kbl 1953 A 432,"Lange, J[oseph]",,Wolfgang Amadeus Mozart,nach einem unvollendeten Ölbild. 1782. Im Mozarteum zu Salzburg,Mehrfarb. Autotypie,Kassel und Basel,Bärenreiter-Verlag,1953,320 x 250,175 x 140,,3.6,Benannte Bildnisse ; M,,Autotypie,,41437233,,,,
Kbl 1953 A 435,"[Bade, Bruno]",,G. M. Malenkow,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; M,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 436,"[Menzel, Adolph v.]",118580914,Ch. F. Gellert,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 240,180 x 95,,"4,30 DM",Benannte Bildnisse ; G,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 437,,,J. v. Görres [nach Ludwig Emil Grimm],,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,300 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; G,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 438,"Grimm, Ludwig Emil",,Gebr. Grimm,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 240,125 x 125,,"4,30 DM",Benannte Bildnisse ; G,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 439,,,Th. Körner,[Nach Emma Römer],Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 44,"Bade, [Bruno]",,A[dam] Kuckhoff,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 440,"Lorentzen, Christian August",130141399,H. Steffens,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 441,"Olivier, Waldemar Friedrich",,K. v.  Stein,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 442,"[Krüger, Franz]",11872469X,F. A. E. Schleiermacher,[Nach Franz Krüger],Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 443 und Kbl 1954 A 94,"Buchhorn, Karl Ludwig",11682025X,F. v. Schill,,Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 444,"Gebauer, [Paul, Ernst]",1050472713,G. J. D. v. Scharnhorst,[Nach Christian Gebauer],Lichtdruckähnliche Reproduktion,Berlin,Graphokopie,1953,330 x 235,165 x 120,,"4,30","Bildnisse, benannt (Fort.)",,Lichtdruck,,42736064,,,,
Kbl 1953 A 445,"[Longhi, Giuseppe]",170967743,A. Lützow,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 446,"[Bade, Bruno]",,M. I. Kutusoff,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 240,150 x 125,,"4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 447,"[Engelbach, Georg]",131382721,F. L. Jahn,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; I/J,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 448,,,A. N. v. Gneisenau [nach Franz Krüger],,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 240,170 x 125,,"4,30 DM",Benannte Bildnisse ; G,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 449 ; Kbl 1954 A 100,"[Bury, Friedrich]",117179337,J. G. Fichte,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,300 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; F,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 45,"[Bade, Bruno]",,M[aria] Langner,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 450,"[Wegener, Heinrich]",1055140573,G. L. v. Blücher,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; B,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 451,"[Krüger, Franz]",11872469X,H. v. Kleist,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; K,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 452,"[Wiedt, Karl]",,E. M. Arndt [Nach J. Roeting],,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; A,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 453,"[Wach, Wilhelm]",117076317,K. v. Clausewitz,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,330 x 240,150 x 120,,"4,30 DM",Benannte Bildnisse ; C,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 458,"Nehrl[ing, Max]",1072043343,[Wilhelm Pieck],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],1951,295 x 205,,,"3,50 DM (DDR)",Benannte Bildnisse ; P,,Lithographie,,40360423,,,,
Kbl 1953 A 459,"Nehrl[ing, Max]",1072043343,[Wilhelm Pieck],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],1951,305 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; P,,Lithographie,,40360423,,,,
Kbl 1953 A 46,"Bade, [Bruno]",,R[uggiero] Leoncavallo,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 460,"Nehr[ling, Max]",1072043343,[Otto Grotewohl],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,295 x 205,,,"3,50 DM (DDR)",Benannte Bildnisse ; G,,Lithographie,,40360423,,,,
Kbl 1953 A 461,"Nehrl[ing], Max",1072043343,Walter Ulbricht,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,295 x 205,,,"3,50","Bildnisse, benannt (Fort.)","jetzt Dresden Verlag d. Kunst, Nr 403b",Lithographie,,40360423,,,,
Kbl 1953 A 462,"Nicolai, [Rudolf]",128666854,Walter Ulbricht,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,305 x 200,,,"3,50","Bildnisse, benannt (Fort.)","jetzt Dresden Verlag d. Kunst, Nr 403a",Lithographie,,40360423,,,,
Kbl 1953 A 463,"Nehrl[ing, Max]",1072043343,[Lenin],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,305 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; L,,Lithographie,,40360423,,,,
Kbl 1953 A 464,"[Nehrling, Max]",1072043343,[Lenin],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,300 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; L,,Lithographie,,40360423,,,,
Kbl 1953 A 465,"[Nehrling, Max]",1072043343,[Karl Marx],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,300 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; M,,Lithographie,,40360423,,,,
Kbl 1953 A 466,"[Nehrling, Max]",1072043343,[Friedrich Engels],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],1951,300 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; E,,Lithographie,,40360423,,,,
Kbl 1953 A 467,"Nehrl[ing], Max",1072043343,Ernst Thälmann,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,300 x 210,,,"3,50","Bildnisse, benannt (Fort.)","jetzt Dresden Verlag d. Kunst, Nr 408",Lithographie,,40360423,,,,
Kbl 1953 A 468,"Nehrl[ing], Max",1072043343,Klara Zetkin,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,300 x 210,,,"3,50","Bildnisse, benannt (Fort.)","jetzt Dresden Verlag d. Kunst, Nr 409",Lithographie,,40360423,,,,
Kbl 1953 A 469,"[Nehrling, Max]",1072043343,[Rosa Luxemburg],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,300 x 205,,,"3,50 DM (DDR)",Benannte Bildnisse ; L,,Lithographie,,40360423,,,,
Kbl 1953 A 47,"Bade, [Bruno]",,W[ilhelm] Leuschner,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 470,"Nicolai, [Rudolf]",128666854,[W. Eggerath,,Orig.-Lithographie,[Weimar],[Thür. Volksverlag Abt. Grafik-Verl.; jetzt: Dresden: Verl. Der Kunst],um 1951,295 x 210,,,6.- DM (DDR),Benannte Bildnisse ; E,,Lithographie,,40360423,,,,
Kbl 1953 A 471,"Nehrl[ing, Max]",1072043343,[Karl Liebknecht],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,305 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; L,,Lithographie,,40360423,,,,
Kbl 1953 A 472,"[Nehrling, Max]",1072043343,[August Bebel],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,295 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; B,,Lithographie,,40360423,,,,
Kbl 1953 A 473,"Nehrling, Max",1072043343,Stalin,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,290 x 210,,,"3,50","Bildnisse, benannt (Fort.)","jetzt Dresden Verlag d. Kunst, Nr. 412",Lithographie,,40360423,,,,
Kbl 1953 A 474,"Nehrling, Max",1072043343,J.W. Stalin,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,300 x 210,,,"3,50","Bildnisse, benannt (Fort.)",Nr. 414,Lithographie,,40360423,,,,
Kbl 1953 A 475,"Arminius, Hildegard",1197271619,Tschaikowsky,,Orig.-Lithographie,Weimar,Thür. Volksverl. Abt. Grafik-Verl.,um 1951,305 x 205,,,"3,50","Bildnisse, benannt (Fort.)",Nr 415,Lithographie,,40360423,,,,
Kbl 1953 A 476,"Nehr[ling, Max]",1072043343,[Lyssenko],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],um 1951,300 x 200,,,"3,50 DM (DDR)",Benannte Bildnisse ; L,,Lithographie,,40360423,,,,
Kbl 1953 A 477,"Nehrl[ing, Max]",1072043343,[Philipp Müller],,Orig.-Lithographie,[Weimar],[Thür. Volksverl. Abt. Grafik-Verl.; jetzt: Dresden: Verlag der Kunst],1952,300 x 210,,,"3,50 DM (DDR)",Benannte Bildnisse ; M,,Lithographie,,40360423,,,,
Kbl 1953 A 478,"Wächtler, Leopold",1050532031,Fr. v. Flotow,,Orig.-Holzschnitt,[Leipzig],[Möhring],1953,295 x 215,,,8.- DM (DDR),Benannte Bildnisse ; F,,Holzschnitt,,40257363,,,,
Kbl 1953 A 479,"Wächtler, Leopold",1050532031,E. Humperdinck,,Orig.-Holzschnitt,[Leipzig],[Möhring],1953,295 x 215,190 x 140,,8.- DM (DDR),Benannte Bildnisse ; H,,Holzschnitt,,40257363,,,,
Kbl 1953 A 48,"[Bade, Bruno]",,Prälat [Berhard] Lichtenberg,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 480,"Wächtler, Leopold",1050532031,Heinr. Schütz,,Orig.-Holzschnitt,Leipzig,Möhring,1953,295 x 210,185 x 125,,8,"Bildnisse, benannt (Fort.)",,Holzschnitt,,40257363,,,,
Kbl 1953 A 481,"Wächtler, Leopold",1050532031,Max Reger,,Orig.-Holzschnitt,[Leipzig],[Möhring],1953,305 x 215,190 x 140,,8.- DM (DDR),Benannte Bildnisse ; R,,Holzschnitt,,40257363,,,,
Kbl 1953 A 482,"Wächtler, Leopold",1050532031,Rossini,,Orig.-Holzschnitt,[Leipzig],[Möhring],1953,305 x 215,185 x 140,,8.- DM (DDR),Benannte Bildnisse ; R,,Holzschnitt,,40257363,,,,
Kbl 1953 A 483,"Wächtler, Leopold",1050532031,Thüringer Wald I (Am Rennsteig),,Mehrfarb. Orig.-Linolschnitt,Leipzig,Möhring,1953,310 x 400,210 x 280,,16,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Linolschnitt,!041561457!,40358615,,,,
Kbl 1953 A 486,,,Heinrich Schütz,,"Mehrfarb. Autotypie, Gemälde Miniatur e. unbek. Zeitgenöss. Meisters",Kassel,Bärenreiter-Verl.,1953,320 x 250,165 x 110,,3.60,"Bildnisse, benannt (Fort.)",,Autotypie,,41437233,,,,
Kbl 1953 A 487,"Dürer, Albrecht",11852786X,Hieronymus Holzschuher,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,275 x 195,235 x 170,,"1,50 DM (DDR)",Benannte Bildnisse ; H,,Autotypie,,41437233,,,,
Kbl 1953 A 488,"Thoma, Hans",118622064,Gesang im Grünen,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,255 x 190,245 x 180,,"1,50 DM (DDR)",Landschaft g.,[Neudruck],Autotypie,!04114354X!,41437233,,,,
Kbl 1953 A 489,"Courbet, Gustave",118522450,Pferd im Walde,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 245,180 x 225,,"1,50","Tierbilder, Pferd","[Neudr.], Nr 8233",Autotypie,!041921526!,41437233,,,,
Kbl 1953 A 49,"[Bade, Bruno]",,J[ustus] v[on] Liebig,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1952,330 x 240,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; L,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1953 A 490,"Steen, Jan",137074271,Das Niklasfest,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,250 x 210,215 x 185,,"1,50",Häusl. Genre,Nr 1050,Autotypie,,41437233,,,,
Kbl 1953 A 491,"Velasquez, Diego [Rodriquez de Silva y]",118626426,Infantin Margarete Theresia,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,280 x 215,245 x 190,,"1,50 DM (DDR)",Benannte Bildnisse ; M,[Neudruck],Autotypie,,41437233,,,,
Kbl 1953 A 492,"Hals, Frans",118545221,Der Narr,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,255 x 220,220 x 195,,"1,50 DM (DDR)",Ständebilder,[Neudruck],Autotypie,,41437233,,,,
Kbl 1953 A 493,"Steen, Jan",137074271,Die Kindtaufe,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,220 x 245,185 x 220,,"1,50",Häusl. Genre,Nr 1791,Autotypie,,41437233,,,,
Kbl 1953 A 494,"Wereschtschagin, Wassili",119268353,Russische Bäuerin,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,255 x 205,220 x 180,,"1,50 DM (DDR)",Landschaftlich gebundene Bildnisse,,Autotypie,!04114354X!,41437233,,,,
Kbl 1953 A 495,"Courbet, Gustave",118522450,Rehe im Walde,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,225 x 255,185 x 225,,"1,50","Tierbilder, Rotwild, Rehe",[Neudr.],Autotypie,!042015332!,41437233,,,,
Kbl 1953 A 496,"Rubens, Peter Paul",11860354X,Der Knabe mit dem Vogel,,Mehrfarb. Autotypie,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1953,270 x 215,230 x 190,"Die Galerien Europas, 1421","1,50 DM (DDR)",Knabenbilder,,Autotypie,!042043026!,41437233,,,,
Kbl 1953 A 497,"Goya [y Lucientes], Francisco [José de]",118541064,Die Erschießung,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,223 x 227,185 x 205,,"1,50 DM (DDR)",Geschichtliche Motive,"[Neudruck], 1868 Spanien",Autotypie,!041569717!,41437233,,,,
Kbl 1953 A 498,"Murillo, B[artolomé] E[steban]",11858586X,Trauben- und Melonenesser,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,285 x 200,250 x 175,,"1,50 DM (DDR)",Einzelne Personen,[Neudruck],Autotypie,,41437233,,,,
Kbl 1953 A 499,"Goya [y Lucientes], Francisco [José de]",118541064,Die Wasserträgerin,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,280 x 215,240 x 180,,"1,50 DM (DDR)",Ständebilder ; Arbeiter,[Neudruck],Autotypie,!041320115!,41437233,,,,
